Date,Sales
2025-01-01,109
2025-01-02,103
2025-01-03,125
2025-01-04,149
2025-01-05,119
2025-01-06,125
2025-01-07,167
2025-01-08,156
2025-01-09,136
2025-01-10,160
2025-01-11,144
2025-01-12,148
2025-01-13,165
2025-01-14,124
2025-01-15,130
2025-01-16,155
2025-01-17,147
2025-01-18,174
2025-01-19,149
2025-01-20,138
2025-01-21,195
2025-01-22,159
2025-01-23,163
2025-01-24,131
2025-01-25,145
2025-01-26,155
2025-01-27,127
2025-01-28,154
2025-01-29,130
2025-01-30,132
2025-01-31,122
2025-02-01,167
2025-02-02,126
2025-02-03,101
2025-02-04,135
2025-02-05,90
2025-02-06,116
2025-02-07,69
2025-02-08,79
2025-02-09,107
2025-02-10,116
2025-02-11,103
2025-02-12,97
2025-02-13,92
2025-02-14,69
2025-02-15,85
2025-02-16,91
2025-02-17,123
2025-02-18,111
2025-02-19,71
2025-02-20,116
2025-02-21,106
2025-02-22,104
2025-02-23,134
2025-02-24,148
2025-02-25,151
2025-02-26,121
2025-02-27,137
2025-02-28,156
2025-03-01,175
2025-03-02,152
2025-03-03,165
2025-03-04,152
2025-03-05,157
2025-03-06,203
2025-03-07,220
2025-03-08,197
2025-03-09,224
2025-03-10,216
2025-03-11,200
2025-03-12,225
2025-03-13,252
2025-03-14,224
2025-03-15,259
2025-03-16,178
2025-03-17,248
2025-03-18,235
2025-03-19,228
2025-03-20,236
2025-03-21,194
2025-03-22,228
2025-03-23,239
2025-03-24,259
2025-03-25,217
2025-03-26,209
2025-03-27,212
2025-03-28,237
2025-03-29,222
2025-03-30,201
2025-03-31,218
2025-04-01,206
2025-04-02,219
2025-04-03,181
2025-04-04,185
2025-04-05,180
2025-04-06,154
2025-04-07,186
2025-04-08,182
2025-04-09,174
2025-04-10,167
2025-04-11,141
2025-04-12,159
2025-04-13,159
2025-04-14,149
2025-04-15,162
2025-04-16,173
2025-04-17,204
2025-04-18,171
2025-04-19,174
2025-04-20,170
2025-04-21,136
2025-04-22,177
2025-04-23,183
2025-04-24,235
2025-04-25,186
2025-04-26,201
2025-04-27,200
2025-04-28,183
2025-04-29,235
2025-04-30,233
2025-05-01,240
2025-05-02,213
2025-05-03,265
2025-05-04,215
2025-05-05,261
2025-05-06,299
2025-05-07,241
2025-05-08,255
2025-05-09,274
2025-05-10,267
2025-05-11,250
2025-05-12,287
2025-05-13,268
2025-05-14,302
2025-05-15,277
2025-05-16,328
2025-05-17,283
2025-05-18,294
2025-05-19,317
2025-05-20,276
2025-05-21,305
2025-05-22,325
2025-05-23,265
2025-05-24,299
2025-05-25,299
2025-05-26,306
2025-05-27,263
2025-05-28,258
2025-05-29,291
2025-05-30,283
2025-05-31,278
2025-06-01,276
2025-06-02,251
2025-06-03,265
2025-06-04,263
2025-06-05,239
2025-06-06,287
2025-06-07,255
2025-06-08,219
2025-06-09,253
2025-06-10,218
2025-06-11,251
2025-06-12,257
2025-06-13,216
2025-06-14,251
2025-06-15,240
2025-06-16,249
2025-06-17,271
2025-06-18,230
2025-06-19,221
2025-06-20,221
2025-06-21,226
2025-06-22,244
2025-06-23,256
2025-06-24,259
2025-06-25,275
2025-06-26,264
2025-06-27,298
2025-06-28,270
2025-06-29,335
2025-06-30,300
2025-07-01,276
2025-07-02,278
2025-07-03,315
2025-07-04,308
2025-07-05,332
2025-07-06,333
2025-07-07,328
2025-07-08,318
2025-07-09,310
2025-07-10,336
2025-07-11,367
2025-07-12,358
2025-07-13,332
2025-07-14,363
2025-07-15,370
2025-07-16,347
2025-07-17,369
2025-07-18,368
2025-07-19,344
2025-07-20,374
2025-07-21,378
2025-07-22,387
2025-07-23,385
2025-07-24,334
2025-07-25,340
2025-07-26,367
2025-07-27,363
2025-07-28,360
2025-07-29,423
2025-07-30,354
2025-07-31,361
2025-08-01,353
2025-08-02,343
2025-08-03,320
2025-08-04,337
2025-08-05,303
2025-08-06,310
2025-08-07,302
2025-08-08,310
2025-08-09,352
2025-08-10,266
2025-08-11,315
2025-08-12,268
2025-08-13,289
2025-08-14,320
2025-08-15,300
2025-08-16,277
2025-08-17,286
2025-08-18,315
2025-08-19,289
2025-08-20,311
2025-08-21,311
2025-08-22,300
2025-08-23,360
2025-08-24,335
2025-08-25,286
2025-08-26,336
2025-08-27,325
2025-08-28,361
2025-08-29,334
2025-08-30,353
2025-08-31,372
2025-09-01,386
2025-09-02,351
2025-09-03,374
2025-09-04,377
2025-09-05,380
2025-09-06,434
2025-09-07,412
2025-09-08,383
2025-09-09,432
2025-09-10,460
2025-09-11,442
2025-09-12,394
2025-09-13,418
2025-09-14,455
2025-09-15,418
2025-09-16,442
2025-09-17,449
2025-09-18,415
2025-09-19,432
2025-09-20,368
2025-09-21,411
2025-09-22,425
2025-09-23,403
2025-09-24,458
2025-09-25,393
2025-09-26,410
2025-09-27,418
2025-09-28,440
2025-09-29,379
2025-09-30,427
2025-10-01,400
2025-10-02,376
2025-10-03,401
2025-10-04,391
2025-10-05,372
2025-10-06,382
2025-10-07,369
2025-10-08,376
2025-10-09,385
2025-10-10,401
2025-10-11,343
2025-10-12,409
2025-10-13,326
2025-10-14,362
2025-10-15,377
2025-10-16,372
2025-10-17,355
2025-10-18,365
2025-10-19,362
2025-10-20,362
2025-10-21,395
2025-10-22,389
2025-10-23,372
2025-10-24,408
2025-10-25,402
2025-10-26,417
2025-10-27,419
2025-10-28,396
2025-10-29,407
2025-10-30,439
2025-10-31,443
2025-11-01,437
2025-11-02,446
2025-11-03,475
2025-11-04,444
2025-11-05,472
2025-11-06,463
2025-11-07,468
2025-11-08,499
2025-11-09,498
2025-11-10,502
2025-11-11,515
2025-11-12,493
2025-11-13,509
2025-11-14,491
2025-11-15,505
2025-11-16,497
2025-11-17,502
2025-11-18,512
2025-11-19,484
2025-11-20,541
2025-11-21,478
2025-11-22,471
2025-11-23,517
2025-11-24,507
2025-11-25,500
2025-11-26,497
2025-11-27,480
2025-11-28,459
2025-11-29,474
2025-11-30,455
2025-12-01,484
2025-12-02,458
2025-12-03,440
2025-12-04,446
2025-12-05,457
2025-12-06,435
2025-12-07,426
2025-12-08,445
2025-12-09,442
2025-12-10,425
2025-12-11,424
2025-12-12,437
2025-12-13,403
2025-12-14,404
2025-12-15,418
2025-12-16,429
2025-12-17,441
2025-12-18,466
2025-12-19,456
2025-12-20,439
2025-12-21,445
2025-12-22,429
2025-12-23,453
2025-12-24,453
2025-12-25,470
2025-12-26,453
2025-12-27,485
2025-12-28,512
2025-12-29,485
2025-12-30,501
2025-12-31,513
